Date,QQQ,SPY,VIX
2017-12-01,146.12518310546875,231.58489990234375,11.430000305175781
2017-12-04,144.4416046142578,231.3047332763672,11.680000305175781
2017-12-05,144.53622436523438,230.47280883789062,11.329999923706055
2017-12-06,145.18882751464844,230.51654052734375,11.020000457763672
2017-12-07,145.6807098388672,231.24339294433594,10.15999984741211
2017-12-08,146.32386779785156,232.50440979003906,9.579999923706055
2017-12-11,147.4588623046875,233.2049102783203,9.34000015258789
2017-12-12,147.26028442382812,233.61654663085938,9.920000076293945
2017-12-13,147.54403686523438,233.59022521972656,10.180000305175781
2017-12-14,147.43995666503906,232.6357421875,10.489999771118164
2017-12-15,149.1141357421875,234.57301330566406,9.420000076293945
2017-12-18,150.36434936523438,236.06048583984375,9.529999732971191
2017-12-19,149.473388671875,235.15394592285156,10.029999732971191
2017-12-20,149.3122100830078,235.03062438964844,9.720000267028809
2017-12-21,149.33116149902344,235.51473999023438,9.619999885559082
2017-12-22,149.1605987548828,235.45315551757812,9.899999618530273
2017-12-26,148.3549041748047,235.17149353027344,10.25
2017-12-27,148.3738555908203,235.28590393066406,10.470000267028809
2017-12-28,148.553955078125,235.77000427246094,10.180000305175781
2017-12-29,147.63453674316406,234.88101196289062,11.039999961853027
2018-01-02,150.22213745117188,236.56216430664062,9.770000457763672
2018-01-03,151.68177795410156,238.05845642089844,9.149999618530273
2018-01-04,151.94723510742188,239.06178283691406,9.220000267028809
2018-01-05,153.4732208251953,240.65493774414062,9.220000267028809
2018-01-08,154.0703582763672,241.0950927734375,9.520000457763672
2018-01-09,154.079833984375,241.64064025878906,10.079999923706055
2018-01-10,153.7196502685547,241.27102661132812,9.819999694824219
2018-01-11,154.771728515625,243.0313720703125,9.880000114440918
2018-01-12,155.90916442871094,244.61572265625,10.15999984741211
2018-01-16,155.46365356445312,243.7795867919922,11.65999984741211
2018-01-17,157.14129638671875,246.10313415527344,11.90999984741211
2018-01-18,157.16973876953125,245.68948364257812,12.220000267028809
2018-01-19,157.66265869140625,246.80734252929688,11.270000457763672
2018-01-22,159.34976196289062,248.8140869140625,11.029999732971191
2018-01-23,160.66726684570312,249.34219360351562,11.100000381469727
2018-01-24,159.62466430664062,249.24539184570312,11.470000267028809
2018-01-25,159.56781005859375,249.3509979248047,11.579999923706055
2018-01-26,162.01319885253906,252.23785400390625,11.079999923706055
2018-01-29,161.2264404296875,250.5656280517578,13.84000015258789
2018-01-30,159.89952087402344,247.9955291748047,14.789999961853027
2018-01-31,160.56297302246094,248.11875915527344,13.539999961853027
2018-02-01,159.19815063476562,247.83705139160156,13.470000267028809
2018-02-02,156.02291870117188,242.44174194335938,17.309999465942383
2018-02-05,149.87142944335938,232.30213928222656,37.31999969482422
2018-02-06,153.8428497314453,236.8789825439453,29.979999542236328
2018-02-07,151.85243225097656,235.59397888183594,27.729999542236328
2018-02-08,145.445068359375,226.75711059570312,33.459999084472656
2018-02-09,147.95681762695312,230.163330078125,29.059999465942383
2018-02-12,150.5823211669922,233.54324340820312,25.610000610351562
2018-02-13,151.35951232910156,234.12408447265625,24.969999313354492
2018-02-14,154.19354248046875,237.28387451171875,19.260000228881836
2018-02-15,157.0560302734375,240.3116455078125,19.1299991607666
2018-02-16,156.3546600341797,240.382080078125,19.459999084472656
2018-02-20,156.66741943359375,238.87698364257812,20.600000381469727
2018-02-21,156.22193908691406,237.68870544433594,20.020000457763672
2018-02-22,156.20294189453125,237.99685668945312,18.719999313354492
2018-02-23,159.39718627929688,241.7903594970703,16.489999771118164
2018-02-26,161.5108184814453,244.5980682373047,15.800000190734863
2018-02-27,159.5109100341797,241.5438995361328,18.59000015258789
2018-02-28,158.48728942871094,239.0969696044922,19.850000381469727
2018-03-01,155.899658203125,235.6204071044922,22.469999313354492
2018-03-02,157.3308563232422,236.8350372314453,19.59000015258789
2018-03-05,159.0749053955078,239.57237243652344,18.729999542236328
2018-03-06,159.74781799316406,240.1796417236328,18.360000610351562
2018-03-07,160.11752319335938,240.09161376953125,17.760000228881836
2018-03-08,160.99903869628906,241.25343322753906,16.540000915527344
2018-03-09,164.1268768310547,245.45188903808594,14.640000343322754
2018-03-12,164.99891662597656,245.143798828125,15.779999732971191
2018-03-13,162.7524871826172,243.55943298339844,16.350000381469727
2018-03-14,162.72406005859375,242.30966186523438,17.229999542236328
2018-03-15,162.5819091796875,242.0455780029297,16.59000015258789
2018-03-16,162.09849548339844,242.30807495117188,15.800000190734863
2018-03-19,158.63995361328125,239.02955627441406,19.020000457763672
2018-03-20,159.16209411621094,239.43603515625,18.200000762939453
2018-03-21,158.4690704345703,238.97659301757812,17.860000610351562
2018-03-22,154.5576171875,233.00274658203125,23.34000015258789
2018-03-23,150.48483276367188,228.0364532470703,24.8700008392334
2018-03-26,156.07666015625,234.27537536621094,21.030000686645508
2018-03-27,151.02597045898438,230.28988647460938,22.5
2018-03-28,149.2886199951172,229.60940551757812,22.8700008392334
2018-03-29,152.02284240722656,232.5432586669922,19.969999313354492
2018-04-02,147.63673400878906,227.52392578125,23.6200008392334
2018-04-03,149.298095703125,230.44009399414062,21.100000381469727
2018-04-04,151.6525421142578,232.90562438964844,20.059999465942383
2018-04-05,152.5165252685547,234.74371337890625,18.940000534057617
2018-04-06,148.7000274658203,229.5121612548828,21.489999771118164
2018-04-09,149.7443389892578,230.64332580566406,21.770000457763672
2018-04-10,153.04812622070312,234.31068420410156,20.469999313354492
2018-04-11,152.1652069091797,233.0823516845703,20.239999771118164
2018-04-12,153.99754333496094,234.99990844726562,18.489999771118164
